0,1,2,3,4,5,6,7,8,9,10,11,12,13
27.0,223333.0,0.324,0.873,10.0,-3.67,1.0,0.0664,0.00119,0.0,0.443,0.775,93.059,4.0
50.0,167266.0,0.621,0.519,11.0,-13.328,0.0,0.102,0.837,0.00246,0.162,0.775,117.005,4.0
47.0,211364.0,0.747,0.221,0.0,-10.528,0.0,0.0358,0.93,0.0,0.116,0.369,118.029,4.0
39.0,281213.0,0.652,0.263,0.0,-9.836,1.0,0.0447,0.758,2.69e-06,0.106,0.192,119.957,4.0
47.0,283266.0,0.292,0.281,5.0,-11.569,1.0,0.0288,0.751,0.000801,0.113,0.164,89.256,4.0
25.0,282387.0,0.614,0.441,10.0,-9.375,1.0,0.0294,0.76,4.18e-05,0.142,0.148,117.991,4.0
33.0,252628.0,0.464,0.72,9.0,-7.466,0.0,0.0583,0.0166,0.0488,0.0803,0.199,160.057,4.0
43.0,244173.0,0.564,0.731,9.0,-7.538,1.0,0.0295,0.517,3.48e-06,0.105,0.257,95.036,4.0
48.0,267306.0,0.512,0.359,9.0,-11.59,1.0,0.0277,0.567,0.0226,0.13,0.132,129.83,4.0
56.0,210186.0,0.737,0.295,0.0,-7.179,1.0,0.0332,0.83,0.0,0.0984,0.369,107.107,4.0
43.0,181819.0,0.655,0.0883,0.0,-19.0,0.0,0.0488,0.971,0.897,0.109,0.373,119.985,4.0
52.0,260000.0,0.409,0.222,10.0,-11.358,1.0,0.0281,0.882,0.00426,0.213,0.151,63.419,4.0
27.0,209200.0,0.512,0.884,4.0,-4.09,1.0,0.0368,5.53e-06,0.0,0.123,0.48,124.003,4.0
47.0,189732.0,0.627,0.307,6.0,-6.994,1.0,0.0313,0.742,0.0,0.106,0.471,104.669,4.0
44.0,211360.0,0.309,0.159,7.0,-13.101,1.0,0.0315,0.912,0.000264,0.1,0.139,87.493,4.0
43.0,252013.0,0.484,0.292,11.0,-13.097,1.0,0.035,0.868,0.000372,0.0903,0.0771,95.446,4.0
38.0,179236.0,0.551,0.161,7.0,-13.903,1.0,0.0331,0.954,0.000925,0.116,0.356,129.786,4.0
40.0,217777.0,0.654,0.135,6.0,-10.535,0.0,0.033,0.938,0.0,0.0983,0.16,100.027,4.0
51.0,181897.0,0.568,0.213,2.0,-11.882,1.0,0.0379,0.955,0.0,0.113,0.302,72.932,4.0
66.0,178947.0,0.738,0.39,8.0,-8.437,1.0,0.0334,0.409,0.0,0.107,0.547,113.979,4.0
53.0,141142.0,0.807,0.403,2.0,-8.759,0.0,0.0316,0.901,0.0,0.12,0.95,105.037,4.0
51.0,188181.0,0.558,0.209,8.0,-8.934,1.0,0.0515,0.852,0.0,0.111,0.41,174.887,3.0
42.0,170712.0,0.444,0.316,2.0,-7.751,1.0,0.0429,0.841,0.0,0.138,0.571,201.64,4.0
26.0,270920.0,0.446,0.787,11.0,-7.334,1.0,0.0714,0.0328,0.0,0.141,0.586,125.642,4.0
26.0,232815.0,0.654,0.834,9.0,-4.436,1.0,0.0425,0.0172,0.000229,0.089,0.904,139.377,4.0
29.0,268906.0,0.572,0.567,9.0,-6.147,1.0,0.0341,0.517,2.47e-05,0.158,0.498,135.217,4.0
26.0,403911.0,0.335,0.696,9.0,-9.472,0.0,0.0307,0.642,0.0,0.12,0.403,95.24,4.0
27.0,150439.0,0.563,0.452,5.0,-8.96,1.0,0.048,0.877,1.38e-05,0.145,0.581,91.98,4.0
26.0,168240.0,0.44,0.947,7.0,-3.115,1.0,0.0652,0.0477,9.95e-06,0.0488,0.892,185.147,4.0
26.0,73501.0,0.712,0.933,0.0,-2.773,1.0,0.0509,0.326,0.0,0.286,0.865,152.02,3.0
27.0,219219.0,0.461,0.799,9.0,-6.565,0.0,0.139,0.744,0.0,0.433,0.797,167.255,4.0
27.0,104200.0,0.582,0.437,7.0,-7.047,1.0,0.0524,0.451,0.0,0.149,0.922,130.467,3.0
58.0,207762.0,0.651,0.86,7.0,-7.8,1.0,0.138,0.609,0.00646,0.0735,0.29,115.0,4.0
26.0,201866.0,0.382,0.9,7.0,-4.938,1.0,0.0685,0.018,0.0,0.0911,0.644,79.965,4.0
27.0,163013.0,0.638,0.543,2.0,-9.678,1.0,0.0432,0.636,0.01,0.355,0.922,140.864,4.0
27.0,245160.0,0.294,0.294,11.0,-9.848,0.0,0.0301,0.9,2.48e-05,0.103,0.18,75.217,4.0
26.0,149610.0,0.351,0.109,7.0,-11.997,0.0,0.0435,0.879,0.0,0.158,0.64,76.851,4.0
27.0,173546.0,0.456,0.285,8.0,-8.768,1.0,0.0501,0.769,0.0,0.125,0.282,129.262,4.0
26.0,221598.0,0.452,0.797,4.0,-5.229,1.0,0.0325,0.28,0.244,0.136,0.642,114.18,4.0
58.0,157600.0,0.507,0.399,9.0,-10.917,0.0,0.0358,0.871,0.000377,0.113,0.225,115.588,4.0
27.0,382474.0,0.371,0.51,0.0,-8.942,1.0,0.0468,0.296,8.19e-05,0.0952,0.147,113.32,4.0
58.0,170000.0,0.821,0.376,0.0,-13.622,1.0,0.0487,0.669,1.39e-05,0.106,0.824,119.039,4.0
47.0,217400.0,0.379,0.53,7.0,-7.229,1.0,0.0355,0.468,0.000216,0.0818,0.577,62.06,4.0
49.0,138748.0,0.516,0.144,2.0,-18.858,1.0,0.051,0.992,0.952,0.115,0.433,134.688,4.0
51.0,212373.0,0.636,0.735,6.0,-5.162,1.0,0.0318,0.036,1.23e-06,0.0915,0.537,120.969,4.0
51.0,286950.0,0.578,0.742,7.0,-5.494,1.0,0.026,0.00511,3.52e-06,0.117,0.2,107.028,4.0
26.0,200720.0,0.717,0.554,7.0,-5.389,1.0,0.044,0.0592,0.0,0.11,0.324,128.039,4.0
55.0,203070.0,0.501,0.716,10.0,-4.661,1.0,0.0411,0.189,0.0,0.0606,0.363,70.919,4.0
26.0,258271.0,0.6,0.65,11.0,-5.127,1.0,0.0282,0.00921,0.0469,0.0781,0.49,139.975,3.0
52.0,294736.0,0.421,0.441,3.0,-8.012,1.0,0.0271,0.413,8.35e-06,0.118,0.0992,138.07,4.0
27.0,177666.0,0.731,0.868,9.0,-6.217,1.0,0.0271,0.111,0.0,0.258,0.975,111.154,4.0
26.0,177613.0,0.417,0.264,7.0,-10.353,1.0,0.0328,0.279,0.0,0.0966,0.501,86.328,4.0
46.0,257706.0,0.356,0.193,11.0,-10.476,1.0,0.0311,0.14,2.6e-05,0.116,0.14,145.428,4.0
27.0,278613.0,0.495,0.865,7.0,-3.21,1.0,0.0414,0.000791,6.68e-06,0.247,0.881,156.924,4.0
56.0,259558.0,0.354,0.206,0.0,-11.799,1.0,0.0365,0.779,0.00021,0.0959,0.202,139.056,4.0
26.0,253600.0,0.592,0.773,7.0,-7.093,1.0,0.0281,0.223,0.00057,0.116,0.729,121.097,4.0
46.0,118878.0,0.768,0.331,6.0,-6.687,1.0,0.0292,0.576,0.0,0.216,0.663,107.044,4.0
41.0,227413.0,0.559,0.241,3.0,-10.688,1.0,0.0289,0.963,2.3e-05,0.187,0.142,118.916,4.0
54.0,151618.0,0.404,0.167,9.0,-12.463,0.0,0.0604,0.891,0.0,0.103,0.298,202.996,4.0
58.0,186660.0,0.57,0.271,0.0,-11.334,1.0,0.0304,0.82,3.27e-06,0.108,0.273,125.862,4.0
41.0,59823.0,0.709,0.119,11.0,-20.33,0.0,0.0459,0.902,0.436,0.109,0.336,135.223,4.0
51.0,254306.0,0.516,0.311,1.0,-13.521,1.0,0.0306,0.936,0.000281,0.107,0.558,129.958,4.0
44.0,216841.0,0.421,0.107,6.0,-15.191,1.0,0.0335,0.948,0.0,0.0881,0.118,104.218,4.0
44.0,252567.0,0.375,0.298,1.0,-11.928,1.0,0.0395,0.822,0.0,0.137,0.425,174.03,4.0
49.0,206451.0,0.683,0.459,11.0,-8.848,1.0,0.119,0.257,0.000102,0.0759,0.287,93.083,4.0
45.0,209669.0,0.699,0.189,1.0,-11.421,1.0,0.0469,0.944,0.0,0.103,0.328,129.794,4.0
39.0,210226.0,0.537,0.674,11.0,-5.32,1.0,0.0284,0.426,0.0,0.128,0.329,92.049,4.0
48.0,197195.0,0.53,0.0776,6.0,-15.478,1.0,0.0462,0.937,0.0,0.122,0.282,179.911,1.0
58.0,163913.0,0.663,0.178,9.0,-12.252,1.0,0.0532,0.676,0.0,0.279,0.541,82.372,4.0
44.0,197546.0,0.592,0.686,9.0,-6.904,1.0,0.0389,0.178,0.0,0.111,0.397,101.015,4.0
57.0,247683.0,0.627,0.246,1.0,-11.41,1.0,0.0342,0.788,0.0,0.118,0.52,141.303,4.0
33.0,578064.0,0.685,0.483,7.0,-9.082,1.0,0.0253,0.0772,6.09e-05,0.113,0.331,93.032,4.0
47.0,182000.0,0.629,0.441,9.0,-4.614,1.0,0.126,0.0339,0.0,0.234,0.782,78.177,4.0
26.0,158906.0,0.474,0.843,5.0,-4.453,0.0,0.209,0.0205,2.71e-06,0.0636,0.901,131.992,4.0
27.0,162293.0,0.741,0.66,2.0,-5.116,1.0,0.0408,0.521,8.14e-06,0.0941,0.856,81.061,4.0
27.0,207151.0,0.316,0.879,7.0,-9.414,0.0,0.113,0.827,0.00239,0.278,0.647,88.614,4.0
49.0,228960.0,0.459,0.823,4.0,-6.481,1.0,0.037,0.00332,1.75e-05,0.189,0.55,152.062,4.0
26.0,88626.0,0.548,0.666,4.0,-2.277,1.0,0.036,0.281,0.0,0.231,0.582,98.806,4.0
26.0,240866.0,0.524,0.578,7.0,-5.974,1.0,0.0267,0.000971,6.55e-06,0.326,0.29,75.032,4.0
27.0,163385.0,0.336,0.761,9.0,-6.312,1.0,0.0399,0.000546,0.00284,0.113,0.501,127.065,4.0
26.0,111641.0,0.37,0.703,7.0,-6.765,1.0,0.0755,0.366,0.0,0.394,0.482,143.848,4.0
50.0,135320.0,0.467,0.855,4.0,-5.375,1.0,0.0515,0.174,9.32e-06,0.11,0.565,135.813,4.0
26.0,188040.0,0.721,0.446,8.0,-10.053,1.0,0.0305,0.797,8.59e-05,0.136,0.542,118.001,4.0
27.0,70506.0,0.389,0.494,9.0,-10.78,1.0,0.131,0.186,0.000138,0.0557,0.909,86.872,4.0
61.0,214560.0,0.501,0.684,2.0,-5.368,1.0,0.0302,0.485,0.0,0.083,0.369,80.039,4.0
48.0,235080.0,0.65,0.628,7.0,-7.16,1.0,0.0232,0.0483,0.0,0.119,0.7,84.141,4.0
26.0,306092.0,0.696,0.379,0.0,-9.724,1.0,0.0284,0.772,1.55e-06,0.101,0.359,112.967,4.0
26.0,210901.0,0.489,0.124,9.0,-10.145,1.0,0.0436,0.952,0.0,0.243,0.257,91.386,4.0
26.0,149783.0,0.582,0.181,10.0,-11.294,0.0,0.0386,0.821,0.0,0.237,0.172,133.431,4.0
53.0,251453.0,0.602,0.52,3.0,-10.831,1.0,0.028,0.732,0.221,0.0982,0.523,151.912,4.0
26.0,199866.0,0.673,0.424,8.0,-11.49,1.0,0.0305,0.3,0.0,0.229,0.709,115.038,4.0
59.0,162040.0,0.676,0.334,5.0,-10.572,1.0,0.0508,0.862,0.0,0.32,0.867,158.0,4.0
48.0,306853.0,0.277,0.198,7.0,-11.923,1.0,0.0306,0.498,0.00623,0.0984,0.134,149.937,3.0
26.0,260853.0,0.587,0.311,4.0,-8.987,1.0,0.0307,0.817,0.0,0.0863,0.374,113.683,4.0
27.0,322140.0,0.731,0.485,7.0,-10.113,1.0,0.0387,0.284,0.00464,0.147,0.463,106.052,4.0
47.0,251164.0,0.642,0.15,0.0,-11.316,1.0,0.0351,0.832,0.0,0.126,0.27,104.978,4.0
26.0,169315.0,0.737,0.238,0.0,-9.052,1.0,0.034,0.891,0.00336,0.0959,0.234,119.085,4.0
45.0,186373.0,0.539,0.356,7.0,-9.749,1.0,0.0321,0.764,0.00154,0.127,0.489,73.703,4.0
49.0,204333.0,0.422,0.119,8.0,-15.182,1.0,0.0354,0.555,0.0,0.0959,0.405,179.844,3.0
49.0,280652.0,0.747,0.0926,8.0,-11.531,1.0,0.0308,0.921,0.0,0.112,0.328,77.94,4.0
64.0,246306.0,0.524,0.687,7.0,-4.039,1.0,0.0267,0.00135,0.0,0.169,0.619,99.919,4.0
44.0,251720.0,0.579,0.612,10.0,-5.088,1.0,0.0266,0.702,0.00195,0.254,0.623,155.921,4.0
48.0,202928.0,0.545,0.169,6.0,-10.145,1.0,0.0457,0.953,0.0,0.152,0.291,138.199,4.0
47.0,257390.0,0.631,0.29,1.0,-9.159,1.0,0.0279,0.857,0.0,0.181,0.398,96.593,3.0
33.0,214860.0,0.758,0.206,9.0,-14.68,1.0,0.0729,0.628,0.0,0.148,0.25,124.873,4.0
